YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];CV0202[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-11-01 13:19:25:750;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 184.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:25:870;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 184.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:25:990;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 185.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:26:110;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 185.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:26:230;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 185.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:26:350;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 185.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.80; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:26:470;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 185.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.80; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:26:590;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 185.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.80; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:26:710;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 186.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 153.80; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:26:830;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 186.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 154.20; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:26:950;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 186.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 154.20; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:27:070;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.91; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 186.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 154.20; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:27:190;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.91; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 186.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 154.20; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:27:310;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 186.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 154.60; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:27:430;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.91; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 186.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 154.60; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:27:550;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 154.60; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:27:670;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 154.60; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:27:790;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.00; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:27:910;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.00; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:030;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.00; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:150;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.00; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:270;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:390;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:510;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 187.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:630;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.40; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:750;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.90; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:870;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.90; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:28:990;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.90; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:29:110;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.90; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:29:230;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 155.90; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:29:350;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 156.30; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:29:470;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 156.30; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:29:590;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 188.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 156.30; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:29:710;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 189.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 156.30; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:29:830;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 189.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 156.70; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:29:950;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 189.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 156.70; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:30:070;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 189.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 156.70; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:30:190;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 189.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 156.70; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:30:310;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.859; 0.00; 65535.00; 40.00; 5.00; 26.00; 189.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 157.10; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.76; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 13:19:30:430;0.00; 0.00; 0.000; 3.74; 3.67; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.66; 0.00; 16.00; 1.00; 1.00; 0.000; 292.88; 0.00; 3.858; 0.00; 65535.00; 40.00; 5.00; 26.00; 189.00; 90.00; 250.00; 0.00; 0.00; 0.00; 3.00; 157.10; 56.18; 188.33; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 1011.29; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.75; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
